Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,231.500000,232.500000,231.000000,232.500000,194.973541,18055269
2018-01-03,236.000000,238.000000,235.500000,237.000000,198.747253,29308091
2018-01-04,240.000000,240.000000,236.500000,239.500000,200.843704,29096613
2018-01-05,240.000000,240.000000,238.000000,240.000000,201.262985,22438255
2018-01-08,242.000000,242.500000,240.500000,242.000000,202.940201,20233692
2018-01-09,242.000000,242.000000,239.500000,242.000000,202.940201,19043123
2018-01-10,241.500000,242.000000,236.000000,236.500000,198.327896,23631220
2018-01-11,235.000000,236.000000,232.500000,235.000000,197.070053,30446338
2018-01-12,234.500000,238.000000,233.500000,237.000000,198.747253,21513291
2018-01-15,240.000000,240.000000,238.000000,240.000000,201.262985,27476533
2018-01-16,240.000000,240.500000,238.000000,240.500000,201.682281,21691632
2018-01-17,240.500000,243.000000,239.000000,242.000000,202.940201,38046119
2018-01-18,245.000000,250.000000,245.000000,248.500000,208.391083,49896952
2018-01-19,253.500000,255.500000,251.500000,255.500000,214.261230,50549292
2018-01-22,257.500000,262.000000,257.000000,261.500000,219.292831,43400509
2018-01-23,262.500000,266.000000,262.500000,266.000000,223.066544,33527444
2018-01-24,263.000000,263.000000,256.500000,258.000000,216.357742,41874813
2018-01-25,258.000000,264.000000,256.500000,258.000000,216.357742,44643756
2018-01-26,256.500000,257.500000,253.500000,255.000000,213.841934,39555523
2018-01-29,259.000000,261.500000,255.000000,258.500000,216.777023,30071234
2018-01-30,256.000000,257.500000,252.500000,253.000000,212.164764,36860591
2018-01-31,253.000000,257.500000,252.000000,255.000000,213.841934,44136808
2018-02-01,257.500000,261.000000,257.000000,259.500000,217.615616,30559457
2018-02-02,259.000000,260.000000,255.000000,259.500000,217.615616,25707560
2018-02-05,251.000000,254.500000,250.500000,253.000000,212.164764,45594379
2018-02-06,242.500000,243.500000,234.000000,239.000000,200.424408,102409048
2018-02-07,245.000000,245.500000,239.500000,240.000000,201.262985,80063178
2018-02-08,239.500000,242.000000,238.000000,238.500000,200.005112,30989550
2018-02-09,230.000000,233.000000,228.500000,232.500000,194.973541,65735265
2018-02-12,235.500000,237.500000,235.000000,236.500000,198.327896,35635236
2018-02-21,244.500000,244.500000,242.000000,242.500000,203.359497,71504174
2018-02-22,244.000000,244.000000,239.000000,239.500000,200.843704,39239993
2018-02-23,241.000000,245.000000,241.000000,245.000000,205.456009,26985776
2018-02-26,247.000000,247.500000,245.000000,246.500000,206.713867,35901810
2018-02-27,250.500000,250.500000,246.000000,246.000000,206.294571,40818119
2018-03-01,244.000000,245.000000,242.000000,243.000000,203.778809,39719984
2018-03-02,240.000000,241.000000,238.500000,240.000000,201.262985,35139170
2018-03-05,242.500000,243.000000,240.500000,241.500000,202.520920,27337846
2018-03-06,245.500000,250.000000,245.500000,250.000000,209.648941,34890780
2018-03-07,248.000000,248.500000,246.000000,247.000000,207.133194,30391219
2018-03-08,249.500000,251.500000,249.000000,249.500000,209.229675,20645694
2018-03-09,250.000000,251.000000,248.500000,250.500000,210.068253,19831063
2018-03-12,252.000000,255.000000,251.500000,254.000000,213.003326,24492615
2018-03-13,255.500000,259.000000,255.000000,259.000000,217.196335,33756883
2018-03-14,256.500000,257.500000,255.500000,257.000000,215.519135,23772838
2018-03-15,258.000000,258.000000,255.000000,255.000000,213.841934,19396493
2018-03-16,253.000000,256.000000,249.500000,255.000000,213.841934,62929326
2018-03-19,252.500000,255.500000,251.000000,255.000000,213.841934,21440766
2018-03-20,253.000000,254.000000,251.500000,253.000000,212.164764,21840151
2018-03-21,255.000000,255.000000,251.000000,252.500000,211.745453,28976737
2018-03-22,254.500000,254.500000,249.500000,251.500000,210.906876,27000668
2018-03-23,245.000000,247.000000,244.000000,245.000000,205.456009,52498390
2018-03-26,241.500000,244.500000,241.500000,243.500000,204.198074,36987945
2018-03-27,248.000000,251.000000,247.000000,251.000000,210.487549,31008260
2018-03-28,247.500000,248.000000,244.000000,245.000000,205.456009,29637411
2018-03-29,243.000000,247.000000,242.500000,244.000000,204.617386,36165345
2018-03-30,247.500000,249.500000,246.000000,246.000000,206.294571,16996346
2018-04-02,248.500000,249.000000,245.000000,246.500000,206.713867,17696003
2018-04-03,243.000000,244.500000,242.000000,244.000000,204.617386,35813944
2018-04-09,248.000000,248.000000,243.500000,245.000000,205.456009,34694824
2018-04-10,244.500000,249.000000,243.500000,245.500000,205.875290,25156994
2018-04-11,246.500000,248.500000,246.500000,248.000000,207.971786,21607935
2018-04-12,248.500000,248.500000,244.000000,245.000000,205.456009,20409657
2018-04-13,246.000000,246.000000,244.000000,244.500000,205.036667,19742548
2018-04-16,243.000000,244.000000,242.000000,243.500000,204.198074,18350139
2018-04-17,243.000000,243.500000,237.500000,238.000000,199.585846,42756389
2018-04-18,239.500000,241.500000,236.500000,238.000000,199.585846,42500048
2018-04-19,242.000000,244.500000,241.000000,244.500000,205.036667,31901989
2018-04-20,228.000000,231.500000,228.000000,229.000000,192.038467,128452087
2018-04-23,226.500000,227.500000,225.000000,226.500000,189.941940,71009975
2018-04-24,225.000000,227.500000,225.000000,227.000000,190.361252,40967892
2018-04-25,225.500000,226.000000,224.000000,225.000000,188.684067,46771110
